,duration,start,end,text,emotion,nature
0,3.5,5.52,9.02, Hater blocking face ,neutral,offensive_speech
1,7.22,9.02,16.24,Ya ll think I care Do I Iook like I give a shit I am the coolest motherfucker on this planet,worry,offensive_speech
2,5.34,16.38,21.72,Do you think some little kids spouting shit online is going to make me quit ,worry,offensive_speech
3,2.88,21.9,24.78,FUCK YOU for even thinking that for a second,hate,offensive_speech
4,4.86,24.84,29.7,I m gonna review your petty little piece of shit videos and that ll be it ,worry,offensive_speech
5,1.66,30.52,32.18,Please don t be mean ,worry,neither
6,2.72,32.18,34.9,I don t know how long I can keep this façade up,worry,offensive_speech
7,3.94,34.9,38.84,Let s watch the first video of the first hater,neutral,neither
8,3.94,41.42,45.36,Hater Yea we re here and we re gonna talk about how Pewdiepie,worry,offensive_speech
9,1.78,45.36,47.14,how he sucks ASS HOLES,worry,offensive_speech
10,2.66,47.14,49.8,You can t even suck Ass holes,hate,offensive_speech
11,0.78,49.8,50.58, FACT ,worry,neither
12,0.04,50.58,50.62,Its a round object,neutral,neither
13,3.58,50.62,54.2,It s a round object look at this Smooching sound ,worry,neither
14,1.26,54.34,55.6,How will I suck it ,worry,offensive_speech
15,3.68,55.6,59.28,And his girlfriend is gay,neutral,offensive_speech
16,2.16,59.28,61.44,Wha How did you know ,worry,offensive_speech
17,2.28,61.44,63.72, Throws Glasses in disbelieve HOW DID YOU KNOW ,worry,offensive_speech
18,6.64,63.72,70.36,You guys are just faggots Like I bet Pewdiepie has like this hypnotizing thing,neutral,offensive_speech
19,8.64,70.42,79.06,And you guys all got hypnotized and now you re all faggots in the gay army yea Pew video cuts ,neutral,neither
20,5.86,79.6,85.46, Pewds laughs Oh he cut off more laughing that s brilliant,sadness,neither
21,2.0,85.46,87.46, kid comes back but now he s too close oh my god And you guys all got hypnotized,worry,neither
22,3.4,87.84,91.24,It s not true goddammit I am not hypnotizing you,worry,offensive_speech
23,3.84,91.72,95.56,I am not hypnotizing anyone,neutral,neither
24,2.62,96.52,99.14,And especially not Marzia You believe PewDiePie ,neutral,neither
25,4.02,99.42,103.44,I must conserve my energy this hater is not worth it,neutral,neither
26,1.76,103.44,105.2, Epic dewds jump in Pewdiepie sucks ,happiness,neither
27,1.26,105.4,106.66,Hater 1 He s a complete joke ,neutral,offensive_speech
28,1.2,106.66,107.86,His back up bud We hate Pewdiepie ,hate,neither
29,1.44,107.86,109.3,We are better gamers than him ,neutral,neither
30,2.64,109.42,112.06, Pewds slightly triggered Dillion the hacker says I m gonna hack you to the end PewDiePie,neutral,offensive_speech
31,1.54,112.58,114.12,That was a scam We are for reals ,neutral,neither
32,1.32,114.82,116.14,WE RE THE REAL DEAL ,neutral,neither
33,0.8,116.96,117.76,Pewdiepie ,neutral,neither
34,1.66,117.96,119.62,The cringe make me want to kill myself fuking do it ,worry,neither
35,2.22,119.82,122.04,Why do you have so many subscribers Pewdiepie ,worry,neither
36,1.78,122.04,123.82,Can you give me some subscribers ,worry,neither
37,0.5,125.0,125.5,Pewdiepie No You heartless billionaire ,worry,neither
38,0.52,126.78,127.3, Realization ,neutral,neither
39,0.58,127.3,127.88, Confused wha the f ,neutral,neither
40,0.76,128.36,129.12,The fuck that was it ,worry,offensive_speech
41,0.54,129.12,129.66, Removes Glasses in shock ,neutral,neither
42,2.32,131.78,134.1, Heavy breathing ,neutral,neither
43,1.14,136.72,137.86,Pussy Destroyer What s going on bros,worry,offensive_speech
44,0.8,139.36,140.16000000000003,Is this guy for re what the f ,worry,offensive_speech
45,2.1,140.32,142.42,My name am PEEEEWWDIEPIE,neutral,neither
46,1.16,143.82,144.98, Speaking different language ,neutral,neither
47,3.2,145.58,148.78,Is this becoming a meme now To act like a fucking retard ,neutral,offensive_speech
48,1.0,149.02,150.02,And hating on Pewdiepie Pretty much ,neutral,neither
49,1.36,150.56,151.92000000000004,Because if that s the case ,neutral,neither
50,0.5,152.84,153.34,You win ,worry,neither
51,6.12,153.76,159.88,BlockyKid917 Hey guys blockykid he Blockykid Pewds blockykid917,neutral,offensive_speech
52,2.04,160.8,162.84,Ni nine one seven here,neutral,neither
53,1.82,163.3,165.12,You don t even know your own name ,neutral,offensive_speech
54,0.5,165.34,165.84,DUUUUDE,neutral,neither
55,1.06,165.84,166.9,What the fuck Video playing in background ,worry,offensive_speech
56,1.12,166.98,168.1,Maybe next time ,neutral,neither
57,0.86,168.64,169.5,Wel lets listen to what he says,worry,offensive_speech
58,0.5,169.58,170.08,and,neutral,neither
59,2.98,170.08,173.06,Today we will be talking about why I hate pewdiepie,hate,neither
